id,year,last,first,team,primary_pos,G,b_pa,b_hr,b_r,b_rbi,b_sb,b_k,b_w,AVG,ISO,BABIP,K_pct,BB_pct,BB_K_pct,SB_pct,wOBA,wRC_plus,RE24,GB_pct,LD_pct,HR_FB_pct,brl_percent,ev95percent,anglesweetspotpercent,est_ba,est_slg,est_woba,sprint_speed,BABIP_gap,xBA_AVG_gap,xSLG_SLG_gap,team_rpg,experience,SB_rate,career_BABIP,K_pct_delta,BB_pct_delta,ISO_delta,BABIP_delta,ESPN_Pts
abrac001,2022,Abrams,CJ,SDN,SS,90,302.0,2.0,33.0,21.0,7.0,50.0,5.0,0.2464788732394366,0.0774647887323943,0.2905982905982906,0.1655629139072847,0.0165562913907284,-0.1490066225165563,0.6363636363636364,0.26578177181505874,72.0,-11.527968880409308,0.509,0.177,0.027,2.1,30.7,28.2,0.244,0.327,0.272,29.0,,-0.002478873239436602,0.0030563380281690145,4.351851851851852,0,0.023178807947019868,,,,,,108.0
abrac001,2023,Abrams,CJ,WAS,SS,151,614.0,18.0,83.0,64.0,47.0,118.0,32.0,0.2451154529307282,0.1669626998223801,0.2790697674418604,0.1921824104234527,0.0521172638436482,-0.1400651465798045,0.9215686274509804,0.30485599282185905,91.0,-9.41716048767231,0.437,0.182,0.107,6.9,35.9,32.2,0.243,0.402,0.304,28.6,,-0.0021154529307282066,-0.01007815275310825,4.320987654320987,1,0.07654723127035831,,0.02661949651616799,0.035560972452919795,0.0894979110899858,-0.011528523156430215,340.0
abrac001,2024,Abrams,CJ,WAS,SS,138,602.0,20.0,79.0,65.0,31.0,128.0,40.0,0.2458410351201478,0.1866913123844731,0.2846347607052896,0.2126245847176079,0.0664451827242525,-0.1461794019933555,0.7209302325581395,0.3207739103595008,106.0,2.844521744939823,0.4,0.182,0.115,6.9,40.7,33.0,0.243,0.413,0.32,28.5,-0.00019926831478589424,-0.0028410351201478,-0.019532347504621017,4.074074074074074,2,0.05149501661129568,0.2848340290200755,0.020442174294155208,0.0143279188806043,0.01972861256209299,0.005564993263429185,321.0
abrac001,2025,Abrams,CJ,WAS,SS,144,635.0,19.0,92.0,60.0,31.0,125.0,37.0,0.2568965517241379,0.1758620689655172,0.296127562642369,0.1968503937007874,0.058267716535433,-0.1385826771653543,0.9117647058823528,0.3227429754680182,107.0,1.910059376895707,0.3929999999999999,0.1989999999999999,0.102,7.6,39.2,34.4,0.245,0.401,0.309,28.2,0.01135995639388876,-0.011896551724137894,-0.03175862068965507,4.2407407407407405,3,0.048818897637795275,0.28476760624848024,-0.015774191016820482,-0.008177466188819496,-0.010829243418955886,0.011492801937079411,346.0
abrej003,2015,Abreu,Jose,CHA,1B,154,668.0,30.0,88.0,101.0,0.0,140.0,39.0,0.2903752039151713,0.2120717781402936,0.3333333333333333,0.2095808383233532,0.0583832335329341,-0.1511976047904191,,0.35681419820225624,131.0,37.64143396988704,0.473,0.207,0.1969999999999999,9.3,41.8,30.4,0.27,0.456,0.338,25.7,,-0.02037520391517128,-0.04644698205546488,3.8395061728395063,0,0.0,,,,,,396.0
abrej003,2016,Abreu,Jose,CHA,1B,159,695.0,25.0,67.0,100.0,0.0,125.0,47.0,0.2932692307692308,0.1746794871794871,0.3271221532091097,0.1798561151079136,0.0676258992805755,-0.1122302158273381,0.0,0.34719582065446747,121.0,12.845794620863916,0.455,0.213,0.148,7.9,39.4,32.7,0.28,0.467,0.348,25.6,,-0.013269230769230755,-0.0009487179487178699,4.234567901234568,1,0.0,,-0.02972472321543959,0.009242665747641397,-0.03739229096080651,-0.006211180124223614,381.0
abrej003,2017,Abreu,Jose,CHA,1B,156,675.0,33.0,95.0,102.0,3.0,119.0,35.0,0.3043478260869565,0.2479871175523349,0.3298097251585624,0.1762962962962962,0.0518518518518518,-0.1244444444444444,1.0,0.37632777873863466,139.0,31.454432338957396,0.4529999999999999,0.182,0.179,9.5,45.2,34.2,0.29,0.52,0.364,26.9,-0.00041801811265912425,-0.014347826086956506,-0.03233494363929146,4.3580246913580245,2,0.0044444444444444444,0.3302277432712215,-0.0035598188116174045,-0.015774047428723695,0.07330763037284782,0.002687571949452683,459.0
abrej003,2018,Abreu,Jose,CHA,1B,128,553.0,22.0,68.0,78.0,2.0,109.0,37.0,0.2645290581162324,0.2084168336673346,0.2941176470588235,0.1971066907775768,0.0669077757685352,-0.1301989150090416,1.0,0.33438734028055417,114.0,8.14917103341819,0.442,0.212,0.161,9.1,45.2,35.4,0.277,0.493,0.356,26.7,-0.03597075684151163,0.012470941883767628,0.020054108216432887,4.049382716049383,3,0.003616636528028933,0.3300884039003351,0.02081039448128061,0.015055923916683395,-0.03957028388500031,-0.0356920780997389,312.0
abrej003,2019,Abreu,Jose,CHA,1B,159,693.0,33.0,85.0,123.0,2.0,152.0,36.0,0.2839116719242902,0.2192429022082018,0.3202614379084967,0.2193362193362193,0.0519480519480519,-0.1673881673881673,0.5,0.34317304032153256,115.0,20.376306952352,0.4629999999999999,0.217,0.21,12.8,48.2,35.2,0.279,0.517,0.358,26.6,-0.0008342767814605301,-0.004911671924290151,0.013845425867507921,4.39751552795031,4,0.002886002886002886,0.32109571468995723,0.022229528558642492,-0.014959723820483294,0.010826068540867206,0.02614379084967322,413.0
abrej003,2020,Abreu,Jose,CHA,1B,60,262.0,19.0,43.0,60.0,0.0,59.0,18.0,0.3166666666666666,0.3,0.3496932515337423,0.2251908396946564,0.0687022900763358,-0.1564885496183206,,0.4090397975778476,164.0,24.426694726100592,0.445,0.236,0.3279999999999999,14.3,53.3,37.4,0.299,0.587,0.399,26.8,0.028764392200077205,-0.01766666666666661,-0.02966666666666673,5.1,5,0.0,0.3209288593336651,0.00585462035843709,0.016754238128283895,0.08075709779179818,0.029431813625245606,210.0
