key_mlbam,key_retro,key_fangraphs,name_last,name_first
605152,bradj002,13166,Bradley,Jed
110625,barrm002,1000605,Barrios,Manuel
118336,martf102,1008165,Martin,Frank
111603,browb101,1001500,Browne,Byron
800935,jackj702,-1,Jackson,John
113051,darir101,1002986,Daringer,Rolla
111880,calif101,1001836,Caligiuri,Fred
115817,hernl003,1116,Hernández,Liván
818638,kellw104,-1,Kelly,W. H.
117263,korcs101,1007111,Korcheck,Steve
-1,cookw901,-1,Cook,R. F.
122501,snydp101,1012254,Snyder,Pop
-1,westu901,-1,West,Edward
122925,suckt101,1012667,Suck,Tony
117218,knudm001,1007065,Knudson,Mark
594987,sadlc002,11209,Sadler,Casey
115724,helfh101,1005611,Helf,Hank
219594,ohkat001,788,Ohka,Tomo
121937,scotj101,1011683,Scott,Jack
117827,littl101,1007666,Littleton,Larry
553832,ringt701,-1,Ringolsby,Tracy
680911,millo002,24655,Miller,Owen
117740,lewim001,1007585,Lewis,Mark
407900,asenm001,586,Asencio,Miguel
669242,edmat001,19470,Edman,Tommy
123254,thomk101,1012982,Thomas,Kite
430655,vasqj001,2221,Vásquez,Jorge
111361,bradn101,1001329,Brady,Neal
121259,roacj101,1011012,Roach,John
817576,reynb103,-1,Reynolds,Bill
703231,meekj001,-1,Meeker,James
660636,castd004,19906,Castillo,Diego
819385,gileg101,-1,Giles,George
116963,kellb104,1006793,Kelly,Billy
111391,branm102,1001352,Brannock,Mike
110907,berga101,1000878,Bergman,Al
115869,hessg101,1005748,Hesselbacher,George
119255,monte101,1009059,Montague,Ed
123267,thomb101,1012964,Thomas,Bill
-1,cookl101,-1,Cook,Les
110478,bakej104,1000461,Baker,Jesse
112952,currp102,1002888,Curran,John
123168,tebep102,1012901,Tebeau,Pussy
114307,fordt101,1004225,Ford,Tom
122469,smitb112,1012096,Smith,Bill
123087,tannl101,1012823,Tannehill,Lee
112443,coffs101,1002393,Coffman,George
112040,carrd104,1001992,Carrithers,Don
121605,saboa101,1011356,Sabo,Alex
431088,webbb701,-1,Webb,Bob
124589,woulj101,1014267,Woulfe,Jimmy
115153,grift102,1005053,Griffith,Tommy
118729,mcgrs101,1008547,McGrew,Slim
113525,doylj101,1003463,Doyle,Jeff
118394,maskl101,1008214,Maskrey,Leech
817402,russf101,-1,Russell,Frank
818695,jonea106,-1,Jones,A.
122302,skopj101,1012042,Skopec,John
816448,xiqul101,-1,Xiqués,Leovigildo
-1,smitg901,-1,Smith,George
818458,logac101,-1,Logan,Coley
137203,smitd005,1012120,Smith,Dan
570666,cessl001,13345,Cessa,Luis
111852,cacec101,1001808,Cacek,Craig
113320,dewac101,1003256,Dewald,Charlie
123963,washh101,1013656,Washington,Herb
123602,valdj101,1013312,Valdez,Julio
118928,meled101,1008743,Mele,Dutch
430963,penat003,4573,Peña,Tony
123847,walkj102,1013541,Walkup,Jim
124296,willd102,1013984,Williams,Davey
-1,joned108,-1,Jones,David
116533,jensj101,1006398,Jensen,Jackie
642239,zastr001,15094,Zastryzny,Rob
117084,kingl102,1006936,King,Lynn
124568,woodk001,1014240,Woodson,Kerry
113526,doylj105,1003462,Doyle,Jess
122044,shang101,1011787,Shanahan,Greg
122671,stanj103,1012414,Stanley,Joe
457826,mastt001,5768,Mastny,Tom
676914,schnd001,23565,Schneider,Davis
-1,blanf901,-1,Blandford,Fred
819103,haynl101,-1,Haynes,Leroy
-1,esheg901,-1,Eshelman,George
120783,pruee101,1010550,Pruess,Earl
282562,petta002,489,Pettyjohn,Adam
434670,ramih003,8001,Ramírez,Hanley
121701,sante101,1011448,Santry,Edward
121198,riggj101,1010956,Riggert,Joe
819113,hayej104,-1,Hayes,Johnny
110472,bakef103,1000452,Baker,Floyd
819859,davig104,-1,Davis,G.
819510,forbf101,-1,Forbes,Frank
117951,low-f101,1007792,Low,Fletcher
121564,russr102,1011321,Russell,Reb
642094,smitt002,12490,Smith,Tyler
116497,jarvr102,1006365,Jarvis,Roy
819697,duffb102,-1,Duffy,Bill
816518,wilse103,-1,Wilson,Elmer
111982,cardl101,1001938,Cárdenas,Leo
119805,nippa001,1009602,Nipper,Al
118137,mageb101,1007963,Magee,Bill
115849,herrh101,1005728,Herring,Herb
114941,goocl101,1004849,Gooch,Lee
448609,sippt001,8280,Sipp,Tony
346858,valee002,1629,Valent,Eric
111399,brask101,1001361,Brashear,Kitty
112566,conlj101,1002509,Conlon,Jocko
117893,longj101,1007732,Long,Jeoff
119053,milem101,1008864,Miley,Mike
118173,mailw101,1007998,Mails,Duster
421684,snelc001,1480,Snelling,Chris
150034,creed001,1202,Creek,Doug
116617,johnr101,1006494,Johnson,Randy
119193,mitcj001,1009003,Mitchell,John
434705,repkj001,2628,Repko,Jason
227495,durrt001,1805,Durrington,Trent
124538,woodj101,1014225,Wood,Joe
446290,moskd001,2858,Moskos,Daniel
120848,quint101,1010612,Quinn,Tom
119205,mittr101,1009013,Mitterling,Ralph
122134,shere101,1011875,Sherling,Ed
501869,taylg001,3719,Taylor,Graham
-1,homob901,-1,Homolka,Bob
285064,voger001,1011,Vogelsong,Ryan
117006,kepsk001,1006859,Kepshire,Kurt
460621,spean001,6026,Spears,Nate
702332,durbc002,-1,Durbin,Caleb
666674,colie001,20589,Colina,Edwar
132620,sadld001,627,Sadler,Donnie
119257,montr001,1009061,Montalvo,Rafael
819261,grosu101,-1,Gross,
124645,yankg101,1014320,Yankowski,George
506627,browr103,-1,Brown,Ray
121848,schnp101,1011597,Schneider,Pete
596816,gomer002,12963,Gómez,Roberto
122363,smitp101,1012193,Smith,Pop
124100,wertj101,1013792,Werts,Johnny
117162,klinj102,1007009,Klinger,Joe
112438,cockj101,1002385,Cockman,Jim
817255,simpu101,-1,Simpson,
116091,holle102,1005967,Holly,Ed
118140,magls101,1007968,Maglie,Sal
110525,bandc001,1000504,Bando,Chris
120515,philr101,1010297,Phillips,Red
701552,grana001,-1,Granillo,Andre
