key_mlbam,key_retro,name_last,name_first
605152,bradj002,Bradley,Jed
110625,barrm002,Barrios,Manuel
118336,martf102,Martin,Frank
111603,browb101,Browne,Byron
800935,jackj702,Jackson,John
113051,darir101,Daringer,Rolla
111880,calif101,Caligiuri,Fred
115817,hernl003,Hernández,Liván
818638,kellw104,Kelly,W. H.
117263,korcs101,Korcheck,Steve
-1,cookw901,Cook,R. F.
122501,snydp101,Snyder,Pop
-1,westu901,West,Edward
122925,suckt101,Suck,Tony
117218,knudm001,Knudson,Mark
594987,sadlc002,Sadler,Casey
115724,helfh101,Helf,Hank
219594,ohkat001,Ohka,Tomo
121937,scotj101,Scott,Jack
117827,littl101,Littleton,Larry
553832,ringt701,Ringolsby,Tracy
680911,millo002,Miller,Owen
117740,lewim001,Lewis,Mark
407900,asenm001,Asencio,Miguel
669242,edmat001,Edman,Tommy
123254,thomk101,Thomas,Kite
430655,vasqj001,Vásquez,Jorge
111361,bradn101,Brady,Neal
121259,roacj101,Roach,John
817576,reynb103,Reynolds,Bill
703231,meekj001,Meeker,James
660636,castd004,Castillo,Diego
819385,gileg101,Giles,George
116963,kellb104,Kelly,Billy
111391,branm102,Brannock,Mike
110907,berga101,Bergman,Al
115869,hessg101,Hesselbacher,George
119255,monte101,Montague,Ed
123267,thomb101,Thomas,Bill
-1,cookl101,Cook,Les
110478,bakej104,Baker,Jesse
112952,currp102,Curran,John
123168,tebep102,Tebeau,Pussy
114307,fordt101,Ford,Tom
122469,smitb112,Smith,Bill
123087,tannl101,Tannehill,Lee
112443,coffs101,Coffman,George
112040,carrd104,Carrithers,Don
121605,saboa101,Sabo,Alex
431088,webbb701,Webb,Bob
124589,woulj101,Woulfe,Jimmy
115153,grift102,Griffith,Tommy
118729,mcgrs101,McGrew,Slim
113525,doylj101,Doyle,Jeff
118394,maskl101,Maskrey,Leech
817402,russf101,Russell,Frank
818695,jonea106,Jones,A.
122302,skopj101,Skopec,John
816448,xiqul101,Xiqués,Leovigildo
-1,smitg901,Smith,George
818458,logac101,Logan,Coley
137203,smitd005,Smith,Dan
570666,cessl001,Cessa,Luis
111852,cacec101,Cacek,Craig
113320,dewac101,Dewald,Charlie
123963,washh101,Washington,Herb
123602,valdj101,Valdez,Julio
118928,meled101,Mele,Dutch
430963,penat003,Peña,Tony
123847,walkj102,Walkup,Jim
124296,willd102,Williams,Davey
-1,joned108,Jones,David
116533,jensj101,Jensen,Jackie
642239,zastr001,Zastryzny,Rob
117084,kingl102,King,Lynn
124568,woodk001,Woodson,Kerry
113526,doylj105,Doyle,Jess
122044,shang101,Shanahan,Greg
122671,stanj103,Stanley,Joe
457826,mastt001,Mastny,Tom
676914,schnd001,Schneider,Davis
-1,blanf901,Blandford,Fred
819103,haynl101,Haynes,Leroy
-1,esheg901,Eshelman,George
120783,pruee101,Pruess,Earl
282562,petta002,Pettyjohn,Adam
434670,ramih003,Ramírez,Hanley
121701,sante101,Santry,Edward
121198,riggj101,Riggert,Joe
819113,hayej104,Hayes,Johnny
110472,bakef103,Baker,Floyd
819859,davig104,Davis,G.
819510,forbf101,Forbes,Frank
117951,low-f101,Low,Fletcher
121564,russr102,Russell,Reb
642094,smitt002,Smith,Tyler
116497,jarvr102,Jarvis,Roy
819697,duffb102,Duffy,Bill
816518,wilse103,Wilson,Elmer
111982,cardl101,Cárdenas,Leo
119805,nippa001,Nipper,Al
118137,mageb101,Magee,Bill
115849,herrh101,Herring,Herb
114941,goocl101,Gooch,Lee
448609,sippt001,Sipp,Tony
346858,valee002,Valent,Eric
111399,brask101,Brashear,Kitty
112566,conlj101,Conlon,Jocko
117893,longj101,Long,Jeoff
119053,milem101,Miley,Mike
118173,mailw101,Mails,Duster
421684,snelc001,Snelling,Chris
150034,creed001,Creek,Doug
116617,johnr101,Johnson,Randy
119193,mitcj001,Mitchell,John
434705,repkj001,Repko,Jason
227495,durrt001,Durrington,Trent
124538,woodj101,Wood,Joe
446290,moskd001,Moskos,Daniel
120848,quint101,Quinn,Tom
119205,mittr101,Mitterling,Ralph
122134,shere101,Sherling,Ed
501869,taylg001,Taylor,Graham
-1,homob901,Homolka,Bob
285064,voger001,Vogelsong,Ryan
117006,kepsk001,Kepshire,Kurt
460621,spean001,Spears,Nate
702332,durbc002,Durbin,Caleb
666674,colie001,Colina,Edwar
132620,sadld001,Sadler,Donnie
119257,montr001,Montalvo,Rafael
819261,grosu101,Gross,
124645,yankg101,Yankowski,George
506627,browr103,Brown,Ray
121848,schnp101,Schneider,Pete
596816,gomer002,Gómez,Roberto
122363,smitp101,Smith,Pop
124100,wertj101,Werts,Johnny
117162,klinj102,Klinger,Joe
112438,cockj101,Cockman,Jim
817255,simpu101,Simpson,
116091,holle102,Holly,Ed
118140,magls101,Maglie,Sal
110525,bandc001,Bando,Chris
120515,philr101,Phillips,Red
701552,grana001,Granillo,Andre
122443,smitp001,Smith,Pete
820711,andeb105,Anderson,Bubbles
123056,swiga101,Swigler,Ad
492661,mccaj801,McCallister,Jack
502593,petrj001,Petricka,Jake
118683,mcgaa101,McGann,Ambrose
-1,biblj901,Bible,Jon
664180,hallm002,Hall,Matt
-1,vondc801,Von Der Ahe,Chris
818726,johns107,Johnson,Slim
114369,foytp101,Foytack,Paul
112157,cepeo101,Cepeda,Orlando
112365,clarb103,Clarke,William
621242,diaze006,Díaz,Edwin
400268,boscj001,Boscán,J. C.
120053,orouf101,O'Rourke,Frank
670032,lopen001,Lopez,Nicky
122587,spenv101,Spencer,Vern
820032,coleg102,Coleman,Gilbert
110274,andrw102,Andrews,Wally
114017,farrs001,Farr,Steve
119411,morrm101,Morrison,Mike
115124,greme101,Gremminger,Ed
120958,rayff001,Rayford,Floyd
622270,mejia002,Mejia,Alex
113674,dwyej102,Dwyer,John
118750,mcilv101,McIlree,Vance
115912,higgb102,Higgins,Bob
117534,lattb101,Lattimore,Bill
820005,concr101,Concepción,Rafael
113220,delaj103,Delahanty,Jim
644428,scrit001,Scribner,Troy
115312,haige101,Haigh,Ed
120361,pelle101,Pellagrini,Eddie
819240,hacks102,Hackett,Speedball
664040,loweb001,Lowe,Brandon
121935,scotj103,Scott,John
121080,rescx101,Rescigno,Xavier
124590,wriga102,Wright,Al
121840,schmc101,Schmit,Crazy
518883,kiekd001,Kiekhefer,Dean
124005,weavj102,Weaver,Jim
122003,sents101,Senteney,Steve
114004,fanwh101,Fanwell,Harry
596001,junij001,Junis,Jakob
593576,nerih001,Neris,Héctor
-1,mcavg901,McAvoy,Gary
110726,beama101,Beam,Alex
467092,ramow001,Ramos,Wilson
457456,reyej003,Reyes,Jo-Jo
657248,ottog001,Otto,Glenn
115333,halie101,Halicki,Ed
457574,pachj001,Pacheco,Jordan
819687,duncj102,Duncan,Joe
543744,satij001,Satin,Josh
124755,zeilt001,Zeile,Todd
121820,schlb101,Schlitzer,Victor
502522,millj006,Miller,Justin
445926,chavj001,Chavez,Jesse
116199,howac001,Howard,Chris
112126,castr101,Castleton,Roy
112339,clarb002,Clark,Bobby
113285,derrp101,Derringer,Paul
451109,hayeb001,Hayes,Brett
407870,pearj001,Pearce,Josh
696100,goodh001,Goodman,Hunter
117668,lemkm001,Lemke,Mark
115545,harrr101,Harrison,Rit
118985,merum001,Merullo,Matt
117029,ketcf101,Ketchum,Fred
117368,kuror101,Kurosaki,Ryan
817020,taylb109,Taylor,Bob
121522,rozed101,Rozek,Dick
112703,corrf101,Corridon,Frank
119800,nilat101,Niland,Tom
115663,heale101,Healy,Egyptian
112027,carrc106,Carr,Charlie
818445,longr102,Longley,Red
120992,reedh101,Reid,Hugh
608337,gioll001,Giolito,Lucas
122069,shaus101,Shaughnessy,Shag
658668,olive001,Olivares,Edward
111408,brazf101,Brazill,Frank
-1,wilsf901,Wilson,Frank
111470,brilf101,Brill,Frank
113420,dohee101,Doheny,Ed
446973,hernr801,Hernandez,Rudy
110875,benns001,Bennett,Shayne
114717,gerkg101,Gerken,George
683227,freec003,Freeman,Cody
112994,dailj101,Dailey,John
641796,locat001,Locastro,Tim
406723,barka001,Barkett,Andy
819325,gords102,Gordon,Sam
519455,zimmj003,Zimmermann,Jordan
121675,sandr101,Sanders,Roy
676886,beasj001,Beasley,Jeremy
111967,cantt101,Cantwell,Tom
119141,millj107,Mills,Jack
695670,fordh001,Ford,Harry
117415,lakee101,Lake,Eddie
613317,birdk001,Bird,Kyle
819135,hartg104,Hartman,Garrell
124205,whitg102,Whiteley,Guerdon
118182,makof101,Makosky,Frank
490997,byrnj902,Byrne,Jon
136270,baptt001,Baptist,Travis
820341,browe105,Brown,Elmer
118106,macwk101,MacWhorter,Keith
506648,herry001,Herrera,Yoslán
-1,bovet901,Bovey,Terry
117017,kerrj102,Kerr,John
112321,clare101,Clark,Ed
115683,heatn001,Heaton,Neal
455090,egbej001,Egbert,Jack
121028,reidb102,Reid,Billy
119732,nevip001,Nevin,Phil
124177,whitj106,White,Jack
820802,jennt101,Jennings,Thurman
112475,colej106,Coleman,Jerry
117537,laudt001,Laudner,Tim
817990,nearh101,Nears,Henry
122710,steej001,Steels,James
519096,oterd001,Otero,Dan
118282,margj101,Margoneri,Joe
665871,assaj001,Assad,Javier
112224,chead101,Cheadle,Dave
407053,johna001,Johnson,Adam
608700,plawk001,Plawecki,Kevin
122370,smitd105,Smith,Dave
110634,barrs101,Barry,John
116898,keenj103,Keenan,Jimmie
116058,holba001,Holbert,Aaron
819595,faceu101,Face,
431092,zaveb701,Zavestoski,Bill
117356,kuhej101,Kuhel,Joe
819686,duncf101,Duncan,Frank
117215,knoxc101,Knox,Cliff
113038,danij102,Daniels,Jack
451546,depaj003,De Paula,Julio
694192,chouj001,Chourio,Jackson
116196,hovlj101,Hovlik,Joe
122330,slusj001,Slusarski,Joe
-1,guere801,Guerrero,Epy
-1,chanm901,Chandler,Moses
111262,bottr001,Bottalico,Ricky
672569,campg001,Campero,Gustavo
119051,milej101,Miles,Jim
501255,ynoar001,Ynoa,Rafael
819779,dewis101,Dewitt,Samuel
534229,longd801,Long,Don
110468,baked102,Baker,Del
112260,chrim101,Chris,Mike
628333,despo001,Despaigne,Odrisamer
817434,rossd102,Ross,Dick
112096,cassh101,Cassady,Harry
-1,quisu901,Queisser,Art
120887,raglf101,Ragland,Frank
119197,mitcd101,Mitchell,Dale
119534,muram101,Murakami,Masanori
124587,wortc101,Wortman,Chuck
118676,mcfah101,McFarland,Howie
121224,ripla101,Ripley,Allen
116258,hudlr001,Hudler,Rex
448276,carrb001,Carroll,Brett
117727,lewad101,Lewallyn,Dennis
114115,figub001,Figueroa,Bien
-1,zellr101,Zellars,Reid
120230,parkc001,Parker,Clay
430944,jacob002,Jacobsen,Bucky
115485,harmb101,Harmon,Bob
